Region,population,population_density,percentage_working_population,internal_arrivals,nBusiness,nHouses,nTownhouses,nApartments,nDwellings,median_income,nJob,percentage_year_12,nEmployed,nUnEmployed,nRented,nHomeless
Laverton,241.62857142857143,10.857142857142858,169.50000000000003,-569.9999999999999,187.89999999999998,104.40000000000002,54.914285714285725,33.74285714285715,193.20000000000002,820.1999999999999,910.9999999999999,2.04,344.4999999999999,18.7,104.0,6.599999999999999
Werribee-South,819.4857142857144,7.188571428571431,617.3000000000001,-667.9999999999997,142.50000000000003,355.0285714285714,28.571428571428573,27.97142857142857,411.57142857142856,1641.8000000000002,980.0,1.5800000000000003,297.0,18.499999999999996,104.0,5.999999999999999
PointCook-East,882.9428571428571,46.39999999999999,592.6999999999999,-726.9999999999995,193.4,322.4857142857144,21.200000000000003,7.085714285714286,350.7714285714286,799.5999999999998,1377.8000000000004,0.3900000000000006,585.6999999999999,46.59999999999999,155.2,4.199999999999999
PointCook-South,350.7142857142858,37.225714285714304,149.4,-705.9999999999999,138.20000000000002,174.6,32.02857142857144,0.0,206.62857142857143,1500.6,810.2000000000002,0.7099999999999993,575.4999999999999,41.39999999999999,125.60000000000002,1.7999999999999994
Werribee-East,-407.20000000000005,-52.48857142857142,-362.30000000000007,-339.9999999999999,57.5,2.971428571428571,18.514285714285716,6.57142857142857,28.05714285714286,1106.0000000000002,223.00000000000006,0.8600000000000001,-7.7,-4.6,44.499999999999986,-1.8999999999999997
Werribee-West,2615.2571428571423,20.48857142857143,1673.7,-586.9999999999997,234.70000000000002,899.1142857142858,39.114285714285714,0.22857142857142862,938.4571428571428,1490.2,1700.2999999999997,2.0100000000000002,581.1,40.0,149.8,6.399999999999999
ManorLakes-Quandong,737.8000000000001,10.237142857142858,513.3000000000001,-237.9999999999999,107.80000000000001,269.45714285714286,3.1142857142857148,,272.57142857142856,,216.4,1.8499999999999999,339.90000000000003,23.2,56.0,
PointCook-NorthEast,-178.02857142857144,-32.071428571428505,-109.9,-330.9999999999999,56.80000000000002,5.399999999999999,25.057142857142857,0.0,30.45714285714286,,245.09999999999997,0.37000000000000016,53.199999999999996,8.799999999999999,19.800000000000004,-1.8000000000000003
PointCook-NorthWest,43.8,14.908571428571422,10.800000000000004,-144.99999999999994,47.400000000000006,34.657142857142865,20.114285714285714,5.485714285714285,60.257142857142846,,149.2,0.19999999999999996,144.7,11.5,32.199999999999996,0.6000000000000001
Tarneit(West)-MountCottrell,2476.057142857143,67.45142857142858,1618.6000000000001,-756.9999999999998,343.70000000000005,747.3428571428575,8.428571428571429,,755.7714285714286,,30.200000000000003,4.34,448.20000000000005,35.89999999999999,79.19999999999999,
Tarneit-Central,372.25714285714287,46.76285714285711,207.09999999999997,-936.9999999999997,391.6000000000001,116.85714285714288,37.11428571428572,1.7142857142857149,155.68571428571428,,2664.0999999999995,1.4399999999999997,548.0,52.49999999999999,91.89999999999999,11.499999999999998
Tarneit-North,1769.857142857143,123.38285714285719,1158.1,-320.9999999999999,322.5000000000001,559.0,9.028571428571428,,568.0285714285714,,18.5,5.459999999999999,338.09999999999997,25.500000000000004,117.99999999999999,
Tarneit-South,47.571428571428584,15.19142857142858,26.000000000000004,-405.9999999999998,115.09999999999997,28.314285714285713,17.771428571428576,2.3142857142857145,48.4,,1114.5,1.6199999999999992,187.10000000000002,19.799999999999997,46.09999999999999,1.5999999999999999
