shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.3.H","-37.8117774363255","145.013238815738","105","9262.28"
"3-109-mjp-1.3.H","-37.8120003198111","145.01416429661","106","9347.27"
"3-109-mjp-1.3.H","-37.8122120546516","145.016032899577","107","9513.10"
"3-109-mjp-1.3.H","-37.8127756721426","145.020606985987","108","9919.78"
"3-109-mjp-1.3.H","-37.8130890135052","145.023165840774","109","10147.25"
"3-109-mjp-1.3.H","-37.8131309533684","145.023516863643","110","10178.43"
"3-109-mjp-1.3.H","-37.8102566033256","145.026228794987","111","10577.07"
"3-109-mjp-1.3.H","-37.8076484280229","145.028694904117","112","10939.07"
"3-109-mjp-1.3.H","-37.807542044358","145.028799960286","113","10954.07"
"3-109-mjp-1.3.H","-37.807480319749","145.028881111526","114","10963.97"
"3-109-mjp-1.3.H","-37.8074551965761","145.028995365024","115","10974.39"
"3-109-mjp-1.3.H","-37.8068776941806","145.030566829041","116","11126.65"
"3-109-mjp-1.3.H","-37.8068518098515","145.030635667461","117","11133.35"
"3-109-mjp-1.3.H","-37.8068537085084","145.030749201568","118","11143.32"
"3-109-mjp-1.3.H","-37.8069587826984","145.031643729499","119","11222.77"
"3-109-mjp-1.3.H","-37.8073801487403","145.035289990663","120","11546.52"
"3-109-mjp-1.3.H","-37.8076849165515","145.037894389111","121","11777.81"
"3-109-mjp-1.3.H","-37.8081908031214","145.042299523221","122","12168.88"
"3-109-mjp-1.3.H","-37.8083600244068","145.043805761971","123","12302.54"
"3-109-mjp-1.3.H","-37.8086007619367","145.045821265679","124","12481.61"
"3-109-mjp-1.3.H","-37.8090092998733","145.049263574556","125","12787.41"
"3-109-mjp-1.3.H","-37.8094389457937","145.052898469661","126","13110.30"
"3-109-mjp-1.3.H","-37.8100131386413","145.057654158192","127","13532.93"
"3-109-mjp-1.3.H","-37.8103481810446","145.060485138037","128","13784.41"
"3-109-mjp-1.3.H","-37.8103695630599","145.060689041336","129","13802.48"
"3-109-mjp-1.3.H","-37.810841237034","145.064709187942","130","14159.51"
"3-109-mjp-1.3.H","-37.8113002286768","145.068513893664","131","14497.62"
"3-109-mjp-1.3.H","-37.8116443925309","145.071367457309","132","14751.21"
"3-109-mjp-1.3.H","-37.8121760631085","145.075772406963","133","15142.66"
"3-109-mjp-1.3.H","-37.8128229462368","145.081174070166","134","15622.60"
"3-109-mjp-1.3.H","-37.8131239372134","145.083608570719","135","15839.06"
"3-109-mjp-1.3.H","-37.8136146965684","145.08774212908","136","16206.25"
"3-109-mjp-1.3.H","-37.8140929918843","145.091671591476","137","16555.51"
"3-109-mjp-1.3.H","-37.8144676667136","145.094774509111","138","16831.25"
"3-109-mjp-1.3.H","-37.8149993866782","145.099236606854","139","17227.65"
"3-109-mjp-1.3.H","-37.815155215076","145.100516272524","140","17341.38"
"3-109-mjp-1.3.H","-37.8151877343514","145.10085623454","141","17371.47"
