Red Cliffs,158,158,158,158,158,158
Mildura - North,1 231,1 237,1 242,1 245,1 255,1 265
Mildura - South,540,540,542,542,551,553
Buloke,124,124,124,124,124,124
Gannawarra,80,80,80,80,80,80
Kerang,178,179,179,179,179,182
Robinvale,29,32,32,34,34,34
Swan Hill,461,464,467,469,473,481
Swan Hill Surrounds,8,8,10,10,10,10
Echuca,917,921,924,928,933,939
Kyabram,454,454,454,454,454,454
Lockington - Gunbower,24,24,24,24,25,26
Rochester,88,88,88,88,88,88
Rushworth,29,31,31,31,31,31
Cobram,250,250,250,250,250,251
Moira,10,10,10,10,10,10
Numurkah,301,301,301,301,303,307
Yarrawonga,648,648,649,649,652,656
Mooroopna,487,487,487,487,523,523
Shepparton - North,1 258,1 257,1 262,1 266,1 273,1 279
Shepparton Surrounds - East,,,,,,
Shepparton Surrounds - West,207,207,207,214,216,216
Kialla,95,95,95,95,95,97
Shepparton - South East,854,860,860,863,874,875
Glenelg (Vic.),53,53,53,53,53,53
Hamilton (Vic.),321,321,321,321,325,336
Portland,521,521,521,523,523,529
Southern Grampians,51,51,51,51,51,51
Camperdown,125,125,127,127,127,128
Colac,660,660,660,664,668,676
Colac Surrounds,5,5,5,5,5,5
Corangamite - North,104,104,104,104,104,104
Corangamite - South,99,100,100,101,104,107
Otway,211,212,217,220,220,220
Moyne - East,15,15,15,15,15,15
Moyne - West,288,292,296,300,301,302
Warrnambool - North,972,979,986,989,994,1 009
Warrnambool - South,904,909,916,918,920,920
