route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"5-V14-mjp-9","","","Canberra - Melbourne Via Albury","3","A57FB2","FFFFFF"
"5-V15-mjp-1","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-10","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-11","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-2","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-3","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-4","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-5","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-6","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-7","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-8","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V15-mjp-9","","","Cowes or Inverloch - Melbourne Via Dandenong & Koo Wee Rup","3","A57FB2","FFFFFF"
"5-V16-mjp-1","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
"5-V16-mjp-10","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
"5-V16-mjp-2","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
"5-V16-mjp-3","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
"5-V16-mjp-4","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
"5-V16-mjp-5","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
"5-V16-mjp-6","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
"5-V16-mjp-7","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
"5-V16-mjp-8","","","Casterton - Melbourne Via Warrnambool & Hamilton","3","A57FB2","FFFFFF"
